id,timestamp,transcribed_text,command_type,listening_ms,stt_ms,processing_ms,responding_ms,total_ms,amp_muted_at_wake,music_was_playing,config_tag,whisper_model
seed_0000,,Play WFMU. Radio.,radio,,219109,,,219109,,,pre-bench-history,distil-whisper-large-v3
seed_0001,,Play WFMU Radio.,radio,,2765,,,2765,,,pre-bench-history,distil-whisper-large-v3
seed_0002,,,other,,543,,,543,,,pre-bench-history,distil-whisper-large-v3
seed_0003,,Play WFMU Radio Station.,radio,,6416,,,6416,,,pre-bench-history,distil-whisper-large-v3
seed_0004,,Play KEXP radio station.,radio,,4250,,,4250,,,pre-bench-history,distil-whisper-large-v3
seed_0005,,Stop!,other,,18183,,,18183,,,pre-bench-history,distil-whisper-large-v3
seed_0006,,,other,,223,,,223,,,pre-bench-history,distil-whisper-large-v3
seed_0007,,play KEXP radio station,radio,,15401,,,15401,,,pre-bench-history,distil-whisper-large-v3
seed_0008,,Play WQXR Radio Station,radio,,14278,,,14278,,,pre-bench-history,distil-whisper-large-v3
seed_0009,,stop the music,music,,14722,,,14722,,,pre-bench-history,distil-whisper-large-v3
seed_0010,,pause,other,,2914,,,2914,,,pre-bench-history,distil-whisper-large-v3
seed_0011,,,other,,233,,,233,,,pre-bench-history,distil-whisper-large-v3
seed_0012,,,other,,142,,,142,,,pre-bench-history,distil-whisper-large-v3
seed_0013,,,other,,107,,,107,,,pre-bench-history,distil-whisper-large-v3
seed_0014,,What time is it?,time,,23323,,,23323,,,pre-bench-history,distil-whisper-large-v3
seed_0015,,,other,,103,,,103,,,pre-bench-history,distil-whisper-large-v3
seed_0016,,Play Replacements Radio,radio,,13449,,,13449,,,pre-bench-history,distil-whisper-large-v3
seed_0017,,Play KEXP radio station.,radio,,6652,,,6652,,,pre-bench-history,distil-whisper-large-v3
seed_0018,,,other,,120,,,120,,,pre-bench-history,distil-whisper-large-v3
seed_0019,,Stop.,other,,19617,,,19617,,,pre-bench-history,distil-whisper-large-v3
seed_0020,,Pause.,other,,7470,,,7470,,,pre-bench-history,distil-whisper-large-v3
seed_0021,,What time is it?,time,,13797,,,13797,,,pre-bench-history,distil-whisper-large-v3
seed_0022,,What time is it?,time,,270444,,,270444,,,pre-bench-history,distil-whisper-large-v3
seed_0023,,,other,,224,,,224,,,pre-bench-history,distil-whisper-large-v3
seed_0024,,What time is it?,time,,3969,,,3969,,,pre-bench-history,distil-whisper-large-v3
seed_0025,,What time is it?,time,,2938,,,2938,,,pre-bench-history,distil-whisper-large-v3
seed_0026,,What time is it?,time,,29710,,,29710,,,pre-bench-history,distil-whisper-large-v3
seed_0027,,Play Replacements Radio.,radio,,4702,,,4702,,,pre-bench-history,distil-whisper-large-v3
seed_0028,,Play K-E-X-P radio station.,radio,,16504,,,16504,,,pre-bench-history,distil-whisper-large-v3
seed_0029,,Stop.,other,,3023,,,3023,,,pre-bench-history,distil-whisper-large-v3
seed_0030,,,other,,106,,,106,,,pre-bench-history,distil-whisper-large-v3
seed_0031,,What time is it?,time,,34530,,,34530,,,pre-bench-history,distil-whisper-large-v3
seed_0032,,play,other,,3282,,,3282,,,pre-bench-history,distil-whisper-large-v3
seed_0033,,Play WFMU.,radio,,2786,,,2786,,,pre-bench-history,distil-whisper-large-v3
seed_0034,,Stop.,other,,2888,,,2888,,,pre-bench-history,distil-whisper-large-v3
seed_0035,,Play Shark Smile Radio.,radio,,15032,,,15032,,,pre-bench-history,distil-whisper-large-v3
seed_0036,,Play a radio station based on the song Shark Smile by Big Thief.,radio,,13415,,,13415,,,pre-bench-history,distil-whisper-large-v3
seed_0037,,Stop.,other,,3815,,,3815,,,pre-bench-history,distil-whisper-large-v3
seed_0038,,What time is it?,time,,21712,,,21712,,,pre-bench-history,distil-whisper-large-v3
seed_0039,,Play Replacements Radio.,radio,,3068,,,3068,,,pre-bench-history,distil-whisper-large-v3
seed_0040,,Play WFMU.,radio,,12709,,,12709,,,pre-bench-history,distil-whisper-large-v3
seed_0041,,Stop.,other,,2914,,,2914,,,pre-bench-history,distil-whisper-large-v3
seed_0042,,What time is it?,time,,16843,,,16843,,,pre-bench-history,distil-whisper-large-v3
seed_0043,,,other,,5115,,,5115,,,pre-bench-history,distil-whisper-large-v3
seed_0044,,,other,,325,,,325,,,pre-bench-history,distil-whisper-large-v3
seed_0045,,What time is it?,time,,15339,,,15339,,,pre-bench-history,distil-whisper-large-v3
seed_0046,,Play Replacements Radio.,radio,,2887,,,2887,,,pre-bench-history,distil-whisper-large-v3
seed_0047,,Play WFMU.,radio,,2971,,,2971,,,pre-bench-history,distil-whisper-large-v3
seed_0048,,Stop.,other,,3017,,,3017,,,pre-bench-history,distil-whisper-large-v3
seed_0049,,We'll videos.,other,,33727,,,33727,,,pre-bench-history,distil-whisper-large-v3
seed_0050,,,other,,222,,,222,,,pre-bench-history,distil-whisper-large-v3
seed_0051,,,other,,271,,,271,,,pre-bench-history,distil-whisper-large-v3
seed_0052,,Play WFMU.,radio,,17935,,,17935,,,pre-bench-history,distil-whisper-large-v3
seed_0053,,Stop.,other,,3001,,,3001,,,pre-bench-history,distil-whisper-large-v3
seed_0054,,What time is it?,time,,18560,,,18560,,,pre-bench-history,distil-whisper-large-v3
seed_0055,,"With this tough jumper here, 116 to 111 at that point. Peyton Pritchard took an offensive foul from Devin Booker. But it wasn't just those offensive plays, Chris. What time is it? Down the stretch was excellent. Think about it. I think about it.",time,,18800,,,18800,,,pre-bench-history,distil-whisper-large-v3
seed_0056,,What time is it?,time,,22584,,,22584,,,pre-bench-history,distil-whisper-large-v3
seed_0057,,Play WFMU.,radio,,2984,,,2984,,,pre-bench-history,distil-whisper-large-v3
seed_0058,,Play the Breeders Radio.,radio,,48289,,,48289,,,pre-bench-history,distil-whisper-large-v3
seed_0059,,,other,,107,,,107,,,pre-bench-history,distil-whisper-large-v3
seed_0060,,What time is it?,time,,20726,,,20726,,,pre-bench-history,distil-whisper-large-v3
seed_0061,,Play Replacements Radio.,radio,,3125,,,3125,,,pre-bench-history,distil-whisper-large-v3
seed_0062,,Play WFMU.,radio,,2944,,,2944,,,pre-bench-history,distil-whisper-large-v3
seed_0063,,Stop.,other,,4456,,,4456,,,pre-bench-history,distil-whisper-large-v3
seed_0064,,Stop!,other,,78457,,,78457,,,pre-bench-history,distil-whisper-large-v3
seed_0065,,What time is it?,time,,15986,,,15986,,,pre-bench-history,distil-whisper-large-v3
