id,timestamp,stream_type,source_detail,event,duration_ms,correlated_stall_ms,notes
20260503_154856_075,2026-05-03T15:48:56.075902-04:00,spotify,librespot,play_start,,,
20260503_154856_772,2026-05-03T15:48:56.772750-04:00,spotify,librespot,dropout,4835,,
20260503_154902_933,2026-05-03T15:49:02.933702-04:00,spotify,librespot,dropout,3094,,
20260503_154912_716,2026-05-03T15:49:12.716000-04:00,spotify,librespot,pipe_stall,171489,,
20260503_154906_721,2026-05-03T15:49:06.721037-04:00,spotify,librespot,dropout,6499,171489,
20260503_155129_093,2026-05-03T15:51:29.093490-04:00,spotify,librespot,dropout,5261,,
20260503_155641_320,2026-05-03T15:56:41.320607-04:00,spotify,librespot,dropout,5319,,
20260503_160048_800,2026-05-03T16:00:48.800249-04:00,spotify,librespot,play_stop,712724,,session 712s
20260503_160251_751,2026-05-03T16:02:51.751287-04:00,spotify,librespot,play_start,,,
20260503_175424_157,2026-05-03T17:54:24.157000-04:00,spotify,librespot,pipe_stall,519,,
20260503_175642_757,2026-05-03T17:56:42.757000-04:00,spotify,librespot,pipe_stall,493,,
20260503_181035_430,2026-05-03T18:10:35.430000-04:00,spotify,librespot,pipe_stall,438,,
20260503_181814_768,2026-05-03T18:18:14.768000-04:00,spotify,librespot,pipe_stall,617,,
20260503_183408_547,2026-05-03T18:34:08.547000-04:00,spotify,librespot,pipe_stall,289,,
20260503_185042_383,2026-05-03T18:50:42.383000-04:00,spotify,librespot,pipe_stall,636,,
20260503_185246_521,2026-05-03T18:52:46.521561-04:00,spotify,librespot,dropout,5444,,
20260503_185255_223,2026-05-03T18:52:55.223761-04:00,spotify,librespot,dropout,5237,,
20260503_185303_737,2026-05-03T18:53:03.737703-04:00,spotify,librespot,dropout,5782,,
20260503_193703_328,2026-05-03T19:37:03.328912-04:00,spotify,librespot,play_stop,12851577,,session 12851s
20260503_212452_313,2026-05-03T21:24:52.313681-04:00,spotify,librespot,play_start,,,
20260503_212453_017,2026-05-03T21:24:53.017884-04:00,spotify,librespot,play_stop,704,,session 0s
20260503_214400_765,2026-05-03T21:44:00.765414-04:00,spotify,librespot,play_start,,,
20260503_214401_468,2026-05-03T21:44:01.468781-04:00,spotify,librespot,dropout,4555,,
20260503_215914_249,2026-05-03T21:59:14.249813-04:00,unknown,,dropout,2033,,
20260503_215916_634,2026-05-03T21:59:16.634226-04:00,spotify,librespot,play_start,,,
20260503_215916_973,2026-05-03T21:59:16.973140-04:00,spotify,librespot,dropout,4514,,
